date,gross_value,net_value,benchmark_value
2006-12-12,98838.6014944162,89866.41376143391,112485.93
2006-12-13,100577.8847194295,91447.81155120532,114465.37
2006-12-14,100979.2640222171,91812.75518612337,114922.18
2006-12-15,101982.6897488705,92633.28103313202,113780.2
2006-12-18,102323.87288280697,92850.55243501645,114160.85
2006-12-19,101982.68975858911,92448.10607983638,114541.51
2006-12-20,101609.89284232154,92017.7146527584,114122.8
2006-12-21,100457.54735216199,90974.15289387098,112828.54
2006-12-22,99271.3204442371,89808.93403828618,114160.85
2006-12-26,99172.03956168458,89719.11645358476,114275.016
2006-12-27,99039.9325324642,89509.8825425243,114122.78
2006-12-28,98643.49537735696,89151.59228240614,113665.98
2006-12-29,98643.49537735696,89062.44069012374,113665.98
2007-01-03,98808.6715622623,89211.57362702218,113475.65
2007-01-04,99372.14197617273,89720.31523362845,112828.54
2007-01-05,98399.9056702789,88842.51038700163,113932.43
2007-01-08,98301.25456906625,88753.44107921651,114046.66
2007-01-09,99285.59447880834,89642.17392971981,112904.64
2007-01-10,95804.22805664699,86498.94599250796,116863.56
2007-01-11,94212.67282775445,85061.97548942463,118804.95
2007-01-12,94363.63031772265,85198.27076612374,118614.59
2007-01-16,94181.93098405252,84949.02127164009,118386.195
2007-01-17,93879.1124120088,84675.88882416088,118005.55
2007-01-18,94212.23740524503,84976.35667230186,118424.3
2007-01-19,93031.15493696398,83911.05891642385,116939.68
2007-01-22,93091.71865291102,83965.68540730717,117015.805
2007-01-23,94151.60006382436,84921.66377364943,118348.06
2007-01-24,92213.49564138072,83173.55697557685,115911.875
2007-01-25,92667.74806139701,83583.2778008718,116482.87
2007-01-26,92455.78324605768,83392.09247032099,116216.42
2007-01-29,92304.37395164213,83255.52623901056,116026.1
2007-01-30,93455.12550506285,84293.46650173953,117472.586
2007-01-31,92546.61248147138,83474.0174698472,116330.586
2007-02-01,91426.12644724028,82463.3757155112,114922.14
2007-02-02,89669.67222175107,80879.11145372821,112714.29
2007-02-05,89366.86182150067,80605.98637693933,112333.66
2007-02-06,88942.89125614341,80223.57879409648,111800.73
2007-02-07,88609.76625991084,79923.11094325292,111381.99
2007-02-08,87761.8087790701,79158.28103028814,110316.125
2007-02-09,87640.73044994315,79049.0723376114,110163.93
2007-02-12,88157.30619314619,79515.00676196716,110813.25
2007-02-13,89342.4398903168,80583.95859379711,112302.945
2007-02-14,89524.7694162434,80748.41386260033,112532.125
2007-02-15,87336.76605728736,78774.9063974173,109781.81
2007-02-16,87610.25215049145,79021.58190838159,110125.58
2007-02-20,89190.46592512124,80446.88304791221,112111.89
2007-02-21,89068.88835390392,80256.7771721511,112264.72
2007-02-22,87583.92601489933,78838.4741506272,110393.04
2007-02-23,88099.07089782997,79302.18065916903,111042.34
2007-02-26,84462.39199782653,76028.63232104956,106458.58
