date,gross_value,net_value,benchmark_value
2007-05-18,98248.22260932438,88016.96469995979,165552.97
2007-05-21,99616.91463192255,89243.12548168885,167859.28
2007-05-22,99046.60185268012,88732.20326421401,166898.28
2007-05-23,97116.39354449518,87003.00071975029,163645.78
2007-05-24,99687.08401075144,89305.9876442336,167977.52
2007-05-25,100327.58719919248,89879.79086458699,169056.8
2007-05-29,96449.60579065059,86315.77033430166,175591.38
2007-05-30,98414.80354700294,87988.17153132315,179169.12
2007-05-31,96149.14855875836,85962.55310247315,175044.38
2007-06-01,93769.79956824046,83749.32351671757,179376.1
2007-06-04,94805.40470072039,84590.51196287709,181357.16
2007-06-05,95555.07627753742,85259.40950819277,182791.25
2007-06-06,95222.75599599285,84877.63596175067,183426.97
2007-06-07,94900.38515944753,84590.28789854056,184047.94
2007-06-08,91622.44442014767,81583.87647803173,177690.77
2007-06-11,91767.2836270939,81712.84644869187,177971.67
2007-06-12,89571.82137400059,79757.92893473436,173713.84
2007-06-13,88618.95070933453,78829.70114562898,175561.83
2007-06-14,89924.9355098775,79912.59126517056,178149.11
2007-06-15,86499.623870927,76788.7451152406,184934.95
2007-06-18,85510.82796385247,75834.16761820388,182820.92
2007-06-19,84051.74258987613,74540.19669716257,179701.4
2007-06-20,82426.70705421896,73024.51483301882,183175.7
2007-06-21,81827.95301425409,72421.03453710038,181845.11
2007-06-22,82266.99908569838,72737.18696104766,180869.4
2007-06-25,84075.92576178674,74336.56750609953,176892.36
2007-06-26,85649.94744621041,75653.91789464008,180204.05
2007-06-27,84715.39311377837,74828.43347997307,178237.77
2007-06-28,85755.33256251842,75747.0037303493,180425.77
2007-06-29,85207.25533690037,75262.89147268716,179272.62
2007-07-02,81054.4197631786,71519.46192271654,188010.02
2007-07-03,84610.96063850145,74586.10433342734,196259.6
2007-07-05,84324.17562202291,74333.29811306398,195594.38
2007-07-06,83068.52313158385,73226.41755111703,192681.83
2007-07-09,84356.050714919,74361.39658856223,195668.31
2007-07-10,84381.53561577795,74383.86199328107,195727.42
2007-07-11,83310.73359455107,73365.54662793443,198211.19
2007-07-12,85585.03346198564,75294.98727170944,203622.17
2007-07-13,85355.14307824126,75017.44204490712,204169.12
2007-07-16,85855.77839386948,75382.42598322833,205366.66
2007-07-17,85367.49717224014,74953.70908452856,204198.69
2007-07-18,86529.52823295096,75973.9866018133,206978.27
2007-07-19,84211.80055012148,73863.01929538333,212522.27
2007-07-20,84182.51741117053,73763.47173967815,212448.36
2007-07-23,79021.40386908426,69241.13545639145,199423.44
2007-07-24,80409.76593681243,70457.66365365486,202927.2
2007-07-25,85529.87765472781,74944.07279919951,215848.66
2007-07-26,86789.40687489268,75972.76937405577,212670.05
2007-07-27,88249.46743462034,77250.86134599702,209092.28
2007-07-30,82215.56274098624,71891.7164583985,194795.97
2007-07-31,84237.25449670095,73659.54344422132,199586.02
2007-08-01,85167.02332011232,74472.56076595555,201788.95
2007-08-02,88062.27934693934,76929.78559210479,194929.12
2007-08-03,90333.10653628204,78836.61377971497,199955.69
2007-08-06,90186.21308117632,78708.41512662995,199630.53
2007-08-07,89504.90167961385,78113.81270578744,198122.44
2007-08-08,84415.5642866571,73672.18391842762,186857.0
2007-08-09,83487.17532133913,72861.94894364875,184801.97
2007-08-10,81623.72240283946,71162.79156808389,188926.8
2007-08-13,84025.40897185632,73256.67696918474,183367.84
2007-08-14,86823.31871298092,75696.00541283625,177261.98
2007-08-15,88887.06524059588,77495.26131137527,173048.56
2007-08-16,92691.60729186003,80734.71638062983,180455.38
2007-08-17,92570.09117638215,80548.1406997281,180691.95
2007-08-20,88518.00030345221,77022.28929769214,188601.4
2007-08-21,85090.22253208225,74039.67231301586,195904.83
2007-08-22,84165.55599123811,73161.05127229597,193775.95
2007-08-23,81449.28961617425,70726.77110056128,200029.66
2007-08-24,79613.22712666856,69061.69314440375,195520.52
2007-08-27,82882.04070154966,71828.21302736505,187492.69
2007-08-28,78137.35629170264,67716.31858493324,198225.94
2007-08-29,76872.77343488598,66620.39085364991,201434.05
