date,gross_value,net_value,benchmark_value
2013-05-20,37065.255624241625,35038.59664238684,301099.97
2013-05-21,36917.14858712581,34898.58782156527,299896.8
2013-05-22,39240.34017547682,37094.751630940926,318769.28
2013-05-23,41081.11940841368,38834.88049189969,333722.88
2013-05-24,46688.08743633441,44135.26997548344,379271.16
2013-05-28,44276.03398559234,41855.103104459515,359676.8
2013-05-29,44411.44993177618,41983.114759508775,360776.84
2013-05-30,41368.870980150474,39106.89834488609,336060.44
2013-05-31,39181.0982867585,37038.74897810135,318288.06
2013-06-03,40133.226185053114,37938.81630040763,326022.7
2013-06-04,40357.50090127532,38150.82809383651,327844.6
2013-06-05,41195.37274950503,38942.88667359527,334651.06
2013-06-06,43180.03363400241,40819.03000601425,350773.47
2013-06-07,42337.92741101941,40022.96857920873,343932.6
2013-06-10,39976.65041208106,37790.80179839648,324750.75
2013-06-11,41356.176918667654,39094.8983709871,335957.38
2013-06-12,41546.60067542375,39274.91011221846,337504.28
2013-06-13,42443.720788193044,40122.97737202004,344792.03
2013-06-14,43247.735615383004,40883.03016944315,351323.47
2013-06-17,43751.308027850966,41359.06818249704,355414.22
2013-06-18,43205.4219282493,40801.67104754564,359848.75
2013-06-19,44868.756786166276,42372.46560725045,345995.2
2013-06-20,44378.388332674054,41867.00653263589,342213.8
2013-06-21,45243.21871400554,42682.89599111288,348882.75
2013-06-24,45648.89005147676,43065.61030711488,352011.0
2013-06-25,47128.910651961145,44461.87624819445,363423.8
2013-06-26,48702.546580548624,45946.45980738727,375558.56
2013-06-27,47860.00411612195,45151.596988175705,369061.5
2013-06-28,52237.66292101613,49281.52321281093,402818.8
2013-07-01,51952.352523165944,48963.077063765406,405018.94
2013-07-02,50814.70718762473,47841.92738628736,396149.9
2013-07-03,52953.2954084118,49855.403169790094,412822.25
2013-07-05,53623.53640081118,50486.43348885278,418047.44
2013-07-08,54434.87644780582,51250.30823618888,424372.62
2013-07-09,53914.55912108185,50760.43069599088,420316.22
2013-07-10,55387.321872585126,52147.033365066345,431797.84
2013-07-11,53495.658474522344,50313.889688440926,446545.16
2013-07-12,54582.86593288124,51336.43315623228,437469.9
2013-07-15,46772.44532814557,43939.21760067675,374871.1
2013-07-16,51576.222305045,48452.0071375986,413372.3
2013-07-17,51052.946119236876,47960.42825964673,409178.4
2013-07-18,51331.74083286749,48222.33506187164,411412.84
2013-07-19,52511.235854554914,49330.38250419025,420866.25
2013-07-22,52644.2000476989,49455.292428712324,421931.94
2013-07-23,52198.13095729419,49036.24384806363,418356.8
2013-07-24,53214.64347119232,49991.18140218598,426503.94
2013-07-25,55496.44171800397,52134.76036163729,444792.03
2013-07-26,57739.62874583114,54242.06696584005,462770.7
2013-07-29,56504.376628047095,53081.6398978469,452870.4
2013-07-30,57593.79825074454,54105.070111998655,461601.88
2013-07-31,58138.51518248166,54616.79096872212,465967.7
2013-08-01,59189.33790182015,55603.960397235285,474389.84
2013-08-02,62054.44603729006,58295.51541281464,497353.03
2013-08-05,60969.31318993317,57276.114182642814,488655.9
2013-08-06,57572.35440115721,54084.925217571945,461430.03
2013-08-07,65828.84075974507,61841.277235983616,527603.94
2013-08-08,65622.96130884548,61647.86887494712,525953.9
2013-08-09,63212.49360180089,59383.41457164599,506634.47
2013-08-12,62376.121803241746,58597.705759670636,499931.16
2013-08-13,64979.59030268555,60984.872180866536,479064.9
2013-08-14,65124.13064232671,61059.54181338375,480130.53
2013-08-15,66210.5510949148,62078.15556526704,488140.2
2013-08-16,67562.7337067374,63345.94447717386,498109.25
2013-08-19,69744.88611600634,65391.90232663394,514197.3
2013-08-20,68942.89728550275,64639.967981453236,508284.62
2013-08-21,73251.24689750496,68679.4208031044,540048.1
2013-08-22,75461.37353729497,70751.6069289553,556342.4
2013-08-23,74351.64787340339,69640.39090572696,564523.9
2013-08-26,75614.83725119971,70753.89849571712,574114.8
2013-08-27,75868.37537894634,70920.38389584985,572189.8
2013-08-28,75690.61214316588,70683.29365710805,570849.1
2013-08-29,74350.55137475187,69361.20142210141,580955.75
2013-08-30,74376.95239844182,69385.83078513973,580749.44
2013-09-03,73637.31824648949,68695.83034205422,586524.7
2013-09-04,73339.52035461702,68349.32057248348,584152.7
2013-09-05,72062.02381438688,67158.74801165638,573977.4
2013-09-06,69355.97411685434,64636.82453346337,552423.5
2013-09-09,71803.07201144182,66917.41592076278,571914.8
2013-09-10,70573.0465651233,65771.084404873,562117.56
2013-09-11,71181.58284515182,66338.2143926687,566964.56
2013-09-12,71444.85632292417,66583.5741010972,569061.56
2013-09-13,70996.0078729089,66098.68281990699,572636.6
2013-09-16,70846.83731419116,65893.70340643525,571433.44
2013-09-17,70842.57564627651,65889.73968565065,571399.06
2013-09-18,75829.0864383578,70527.6272134906,611619.06
2013-09-19,78160.38938612622,72695.9411540203,630422.8
2013-09-20,77188.66203582668,71792.15043816101,622585.06
2013-09-23,77708.6159752118,72275.75269855419,626778.9
2013-09-24,78948.85275874192,73429.28047574002,636782.4
2013-09-25,80397.92960071642,74777.04762044323,648470.25
2013-09-26,79434.71950377639,73806.40164130823,656239.25
2013-09-27,78406.94566128009,72851.45033677059,664730.1
2013-09-30,78556.9668106729,72990.84179274784,663458.25
2013-10-01,83461.6948270974,77548.04710779141,622035.0
2013-10-02,79937.8124034322,74196.30003131063,595771.75
2013-10-03,83475.53768579941,77479.92912481332,622138.2
2013-10-04,84439.53569499742,78374.6882302923,629322.9
2013-10-07,80592.7810392872,74804.22571698914,600653.25
